INPUT_IMG,NORM_CLAS_ORIG_IMG,NCOI_CONF,NCOI_RSLT,NCOI_TIME,NORM_CLAS_ADV_IMG,NCAI_CONF,NCAI_L_0,NCAI_L_1,NCAI_L_2,NCAI_L_INF,NCAI_RSLT,NCAI_TIME,BET_CLAS_NO_RAND_OG_IMG,BCNROI_CONF,BCNROI_RSLT,BCNROI_TIME,BET_CLAS_NO_RAND_ADV_IMG,BCNRAI_CONF,BCNRAI_L_0,BCNRAI_L_1,BCNRAI_L_2,BCNRAI_L_INF,BCNRAI_RSLT,BCNRAI_TIME,BET_CLAS_OG_IMG,BCOI_CONF,BCOI_RSLT,BCOI_TIME,BET_CLAS_ADV_IMG,BCAI_CONF,BCAI_L_0,BCAI_L_1,BCAI_L_2,BCAI_L_INF,BCAI_RSLT,BCAI_TIME
0,0,0.71,1,0.16197657585144043,94,1.00,77,3,3,2,-1,0.010481595993041992,103,0.55,0,0.1318666934967041,94,0.67,77,3,3,2,-1,0.11289024353027344,103,0.52,0,0.10075216293334961,94,0.55,77,3,3,2,-1,0.09665455818176269
0,0,0.90,1,0.008462190628051758,94,1.00,79,3,3,2,-1,0.009122848510742188,0,0.86,1,0.10438251495361328,94,0.43,79,3,3,2,-1,0.10748481750488281,0,0.83,1,0.10239629745483399,94,0.28,79,3,3,2,-1,0.09661774635314942
0,758,0.56,0,0.010723114013671875,94,1.00,80,5,4,2,-1,0.010055065155029297,0,0.64,1,0.12439274787902832,0,0.38,80,5,4,2,1,0.13698530197143555,0,0.63,1,0.1408937931060791,0,0.36,80,5,4,2,1,0.10220036506652833
0,0,0.99,1,0.011207103729248047,94,1.00,77,2,3,2,-1,0.009505033493041992,0,0.98,1,0.11963295936584473,94,0.73,77,2,3,2,-1,0.11244368553161621,0,0.97,1,0.10084872245788574,94,0.47,77,2,3,2,-1,0.09581036567687988
0,0,1.00,1,0.009914159774780273,94,1.00,77,3,3,2,-1,0.009526491165161133,0,1.00,1,0.11280322074890137,94,0.98,77,3,3,2,-1,0.10326766967773438,0,1.00,1,0.11369805335998535,0,0.50,76,3,2,2,1,0.09412250518798829
0,391,0.70,0,0.014956951141357422,94,1.00,76,3,3,2,-1,0.009374141693115234,391,0.62,0,0.1036064624786377,391,0.29,76,3,3,2,0,0.11783790588378906,391,0.68,0,0.10943779945373536,391,0.25,76,3,3,2,0,0.10231184959411621
0,0,1.00,1,0.015025854110717773,94,0.99,76,3,3,2,-1,0.01046895980834961,0,1.00,1,0.13277626037597656,0,0.64,76,3,3,2,1,0.10092973709106445,0,1.00,1,0.11713509559631348,94,0.68,77,3,3,2,-1,0.09793596267700196
0,0,0.99,1,0.009927988052368164,94,0.19,75,2,2,2,-1,0.009456634521484375,0,0.99,1,0.12758255004882812,94,1.00,75,2,2,2,-1,0.10896635055541992,0,0.99,1,0.10075993537902832,94,1.00,75,2,2,2,-1,0.11697344779968262
0,0,0.60,1,0.009538412094116211,94,1.00,76,3,3,2,-1,0.009013891220092773,0,0.85,1,0.10541868209838867,94,1.00,75,3,3,2,-1,0.10919070243835449,0,0.89,1,0.10776844024658203,94,1.00,76,3,3,2,-1,0.10199084281921386
0,0,0.99,1,0.01722264289855957,94,1.00,77,4,4,2,-1,0.009699106216430664,0,0.90,1,0.10321855545043945,94,0.67,77,4,4,2,-1,0.1044929027557373,0,0.96,1,0.09575409889221191,94,0.56,77,4,4,2,-1,0.10290012359619141
1,1,1.00,1,0.01833963394165039,94,1.00,76,3,3,2,-1,0.01697850227355957,1,1.00,1,0.10811710357666016,94,0.98,76,3,3,2,-1,0.10943436622619629,1,1.00,1,0.1067270278930664,94,1.00,76,3,3,2,-1,0.09954805374145508
1,1,1.00,1,0.012115478515625,94,1.00,75,4,4,2,-1,0.009874582290649414,1,0.98,1,0.10829496383666992,94,1.00,75,4,4,2,-1,0.11159348487854004,1,0.98,1,0.10096249580383301,94,1.00,75,4,4,2,-1,0.09866948127746582
1,1,1.00,1,0.010953903198242188,94,1.00,76,4,4,2,-1,0.010299921035766602,1,1.00,1,0.12506818771362305,94,0.99,76,4,4,2,-1,0.09542989730834961,1,1.00,1,0.10520215034484863,94,0.97,77,4,4,2,-1,0.10447158813476562
1,1,1.00,1,0.010978937149047852,94,1.00,79,3,3,2,-1,0.009339332580566406,1,1.00,1,0.11344742774963379,1,0.86,79,3,3,2,1,0.10838985443115234,1,1.00,1,0.09762744903564453,1,0.89,79,3,3,2,1,0.10132498741149902
1,1,1.00,1,0.011337518692016602,94,1.00,79,3,3,2,-1,0.01003718376159668,1,1.00,1,0.10706233978271484,1,0.97,79,3,3,2,1,0.10261940956115723,1,1.00,1,0.10489039421081543,1,0.97,79,3,3,2,1,0.10056600570678711
1,1,1.00,1,0.023523569107055664,94,1.00,76,3,3,2,-1,0.009845972061157227,1,1.00,1,0.12101554870605469,94,0.98,76,3,3,2,-1,0.11206293106079102,1,1.00,1,0.1081817626953125,94,0.90,76,3,3,2,-1,0.10139932632446289
1,614,0.15,0,0.011031866073608398,94,1.00,76,4,3,2,-1,0.009983062744140625,614,0.15,0,0.11679625511169434,94,0.93,76,4,3,2,-1,0.10459184646606445,494,0.12,0,0.10560140609741211,94,0.88,76,4,3,2,-1,0.10345978736877441
1,1,1.00,1,0.010134220123291016,94,0.97,75,2,2,2,-1,0.009510040283203125,1,1.00,1,0.10970544815063477,94,1.00,75,2,2,2,-1,0.11920690536499023,1,1.00,1,0.10362277030944825,94,0.97,75,2,2,2,-1,0.1081627368927002
1,1,1.00,1,0.01865363121032715,94,1.00,75,3,3,2,-1,0.01812267303466797,1,1.00,1,0.09838032722473145,94,0.95,75,3,3,2,-1,0.10848045349121094,1,1.00,1,0.11397929191589355,94,0.89,76,3,3,2,-1,0.09746761322021484
1,1,1.00,1,0.01121377944946289,94,0.98,76,3,3,2,-1,0.018049240112304688,1,1.00,1,0.1096963882446289,1,0.62,76,3,3,2,1,0.10250997543334961,1,1.00,1,0.10374817848205567,1,0.73,76,3,3,2,1,0.09705443382263183
2,2,0.97,1,0.01299738883972168,94,1.00,74,3,3,2,-1,0.009810209274291992,2,0.92,1,0.11016321182250977,94,1.00,75,3,3,2,-1,0.11344242095947266,2,0.93,1,0.1037588119506836,94,1.00,74,3,3,2,-1,0.09615650177001953
2,2,1.00,1,0.012464761734008789,94,1.00,76,2,2,2,-1,0.00968313217163086,2,0.99,1,0.11578226089477539,94,0.80,76,2,2,2,-1,0.11383891105651855,2,0.99,1,0.10270462036132813,94,0.51,76,2,2,2,-1,0.10013489723205567
2,2,1.00,1,0.010757684707641602,94,1.00,79,3,3,2,-1,0.010108232498168945,2,0.97,1,0.10874056816101074,2,0.75,79,3,3,2,1,0.10945320129394531,2,0.96,1,0.10890092849731445,2,0.91,79,3,3,2,1,0.0990267276763916
2,2,1.00,1,0.011600017547607422,94,1.00,79,2,2,2,-1,0.009568452835083008,2,0.99,1,0.10354495048522949,2,0.90,79,2,2,2,1,0.10023736953735352,2,0.99,1,0.10792784690856934,2,0.94,79,2,2,2,1,0.0962336540222168
2,2,0.99,1,0.011190652847290039,94,1.00,77,3,3,2,-1,0.013073205947875977,2,0.99,1,0.11661171913146973,94,0.74,77,3,3,2,-1,0.10680866241455078,2,0.99,1,0.09728026390075684,94,0.47,77,3,3,2,-1,0.09788517951965332
2,2,0.98,1,0.01049351692199707,94,1.00,76,2,2,2,-1,0.009576797485351562,2,0.97,1,0.1104743480682373,812,0.34,76,2,2,2,0,0.10592985153198242,2,0.97,1,0.10689406394958496,812,0.33,77,2,2,2,0,0.09695200920104981
