INPUT_IMG,NORM_CLAS_ORIG_IMG,NCOI_CONF,NCOI_RSLT,NCOI_TIME,NORM_CLAS_ADV_IMG,NCAI_CONF,NCAI_L_0,NCAI_L_1,NCAI_L_2,NCAI_L_INF,NCAI_RSLT,NCAI_TIME,BET_CLAS_NO_RAND_OG_IMG,BCNROI_CONF,BCNROI_RSLT,BCNROI_TIME,BET_CLAS_NO_RAND_ADV_IMG,BCNRAI_CONF,BCNRAI_L_0,BCNRAI_L_1,BCNRAI_L_2,BCNRAI_L_INF,BCNRAI_RSLT,BCNRAI_TIME,BET_CLAS_OG_IMG,BCOI_CONF,BCOI_RSLT,BCOI_TIME,BET_CLAS_ADV_IMG,BCAI_CONF,BCAI_L_0,BCAI_L_1,BCAI_L_2,BCAI_L_INF,BCAI_RSLT,BCAI_TIME
0,0,0.65,1,5.909961938858032,103,1.00,79,3,3,2,0,0.010550737380981445,103,0.56,0,0.12456297874450684,0,1.00,80,3,3,2,1,0.14672231674194336,103,0.54,0,0.11831817626953126,0,1.00,80,3,3,2,1,0.11971654891967773
0,0,0.90,1,0.009259223937988281,201,1.00,83,3,3,2,0,0.01064300537109375,0,0.86,1,0.12381243705749512,201,0.92,83,3,3,2,0,0.11073708534240723,0,0.82,1,0.11233854293823242,201,0.91,83,3,3,2,0,0.11049561500549317
0,758,0.56,0,0.011245250701904297,0,1.00,81,6,5,2,1,0.011104822158813477,0,0.64,1,0.11584210395812988,758,0.87,81,6,5,2,0,0.11692571640014648,0,0.62,1,0.11514754295349121,758,0.77,81,6,5,2,0,0.11194524765014649
0,0,0.99,1,0.010298013687133789,395,1.00,80,3,3,2,0,0.011263132095336914,0,0.98,1,0.12283802032470703,395,1.00,80,3,3,2,0,0.10423159599304199,0,0.97,1,0.10713768005371094,395,0.99,80,3,3,2,0,0.11523971557617188
0,0,1.00,1,0.0093994140625,391,1.00,78,3,3,2,0,0.010409116744995117,0,1.00,1,0.11324834823608398,391,1.00,78,3,3,2,0,0.11028409004211426,0,1.00,1,0.11500067710876465,391,1.00,78,3,3,2,0,0.11337919235229492
0,391,0.70,0,0.010289907455444336,209,1.00,78,3,3,2,0,0.010983705520629883,391,0.62,0,0.11716985702514648,209,1.00,78,3,3,2,0,0.1106569766998291,391,0.68,0,0.11288504600524903,209,1.00,78,3,3,2,0,0.11277470588684083
0,0,1.00,1,0.00983428955078125,389,1.00,80,3,3,2,0,0.01077413558959961,0,1.00,1,0.13664841651916504,389,1.00,80,3,3,2,0,0.12208414077758789,0,1.00,1,0.11013145446777343,389,1.00,80,3,3,2,0,0.10739293098449706
0,0,0.99,1,0.010864973068237305,435,0.97,76,2,2,2,0,0.01001119613647461,0,0.99,1,0.10977602005004883,435,0.96,76,2,2,2,0,0.10611414909362793,0,0.99,1,0.10464015007019042,435,0.96,75,2,2,2,0,0.10652942657470703
0,0,0.60,1,0.009045124053955078,389,1.00,78,3,3,2,0,0.00976872444152832,0,0.85,1,0.11060881614685059,389,1.00,78,3,3,2,0,0.10474085807800293,0,0.88,1,0.10534815788269043,389,1.00,78,3,3,2,0,0.10337772369384765
0,0,0.99,1,0.009623050689697266,955,1.00,81,5,5,2,0,0.015065908432006836,0,0.90,1,0.10776638984680176,955,1.00,82,5,5,2,0,0.10547184944152832,0,0.95,1,0.11111998558044434,955,1.00,81,5,5,2,0,0.11290788650512695
1,1,1.00,1,0.010005950927734375,815,1.00,77,3,3,2,0,0.009437799453735352,1,1.00,1,0.11237287521362305,815,1.00,77,3,3,2,0,0.12467122077941895,1,1.00,1,0.10467023849487304,815,1.00,77,3,3,2,0,0.10762786865234375
1,1,1.00,1,0.010155439376831055,902,1.00,76,4,4,2,0,0.009697437286376953,1,0.98,1,0.10590004920959473,902,1.00,76,4,4,2,0,0.09499645233154297,1,0.98,1,0.10693540573120117,902,1.00,76,4,4,2,0,0.10660748481750489
1,1,1.00,1,0.010228157043457031,121,1.00,77,4,4,2,0,0.010624408721923828,1,1.00,1,0.10384464263916016,121,1.00,77,4,4,2,0,0.11742234230041504,1,1.00,1,0.1056978702545166,121,1.00,76,4,4,2,0,0.10648870468139648
1,1,1.00,1,0.0152130126953125,0,1.00,79,3,3,2,0,0.01015162467956543,1,1.00,1,0.11334991455078125,0,0.96,79,3,3,2,0,0.11842632293701172,1,1.00,1,0.10965156555175781,0,0.96,79,3,3,2,0,0.10952234268188477
1,1,1.00,1,0.010706424713134766,109,1.00,82,3,3,2,0,0.019181013107299805,1,1.00,1,0.10844898223876953,109,1.00,82,3,3,2,0,0.10859227180480957,1,1.00,1,0.10979690551757812,109,0.99,82,3,3,2,0,0.10896120071411133
1,1,1.00,1,0.010824441909790039,257,1.00,80,3,3,2,0,0.01026296615600586,1,1.00,1,0.11870956420898438,257,0.89,80,3,3,2,0,0.10173702239990234,1,1.00,1,0.10292563438415528,257,0.86,80,3,3,2,0,0.10913019180297852
1,614,0.15,0,0.010140657424926758,773,1.00,78,4,4,2,0,0.009993553161621094,614,0.15,0,0.10294508934020996,773,1.00,78,4,4,2,0,0.10973930358886719,494,0.13,0,0.10786762237548828,773,1.00,78,4,3,2,0,0.10164241790771485
